data
	^DJI	AAPL	AXP	BA	CAT	CSCO	CVX	DD	DIS	GE	GS	HD	IBM	INTC	JNJ	JPM	KO	MCD	MMM	MRK	MSFT	NKE	PFE	PG	TRV	UNH	UTX	V	VZ	WMT	XOM	
20141029	16974.31	105.54	87.13	120.07	96.58	23.38	112.38	61.77	87.9	24.76	183.7	94.48	158.69	32.95	102.61	57.73	39.67	89.55	147.31	54.44	45.4	90.94	28.52	83.8	97.18	91.52	103.46	53.28	47.51	74.53	91.59	
20141030	17195.42	105.18	87.52	120.8	96.55	23.36	112.44	62.57	88.57	24.76	184.58	95.56	159.55	31.64	104.05	57.82	40.1	90.18	148.38	55.52	44.85	91.98	28.86	84.19	97.75	92.42	103.94	58.74	47.58	74.59	91.45	
20141031	17390.52	106.18	88.72	121.86	97.75	23.74	115.08	63.95	89.71	24.9	187.56	95.56	159.6	33.03	104.77	58.88	40.56	90.52	150	56.13	45.73	91.95	28.97	84.5	98.53	93.54	104.59	59.93	47.91	74.41	93.64	
20141103	17366.24	107.56	89.61	122.95	96.61	23.85	112.04	63.7	90.04	24.79	188.39	94.16	159.56	33.32	104.46	59.27	40.49	90.4	149.55	57.08	46.2	92.43	29.2	84.61	97.7	93.39	103.9	59.96	48.05	74.42	92.24	
20141104	17383.84	106.77	90.13	122.77	95.05	24.14	110.69	63.36	88.7	24.79	187.84	94.03	157.9	33.55	105.58	58.66	40.5	91.23	151.25	57.52	46.33	92.92	29.28	85.83	98.85	93.51	104.47	60.31	47.99	75.38	91.52	
20141105	17484.53	107.03	91.15	121.89	95.83	24.4	112.3	64.56	89.34	24.91	187.41	93.86	157.1	33	105.78	59.54	40.98	91.4	151.88	57.71	46.61	93.64	29.3	86.18	99.2	94.31	105.5	61.94	48	75.81	92.05	
20141106	17554.47	107.34	90.33	122.25	97.27	24.51	113.72	64.84	90.32	25.43	188.56	95.34	157.82	33.06	105.96	59.61	40.96	91.42	152.23	57.41	47.43	93.56	29.3	86.08	99.61	94.72	106.13	62.08	47.94	75.91	93.21	
20141107	17573.93	107.64	91	122.12	98.09	24.58	113.98	65.11	88.36	25.48	188.27	95.69	158.42	32.83	105.18	59.85	40.99	91.84	152.72	57.49	47.41	92.75	29.19	86.31	100.06	92.16	106.62	62.66	48.5	76.85	94.2	
20141110	17613.74	107.46	91.13	122.3	98.52	24.4	113.13	65.41	88.14	25.54	189.35	96.19	159.81	32.52	105.78	60.3	41.06	91.85	153.8	56.97	47.61	93.92	29.46	86.62	100.67	93.28	106.54	62.11	48.36	77.51	93.9	
20141111	17614.9	108.32	90.48	123.01	98.83	24.4	113.63	65.48	88.34	25.45	189.42	96.17	159.62	32.56	105.87	59.75	41.17	91.88	153.26	57.52	47.6	93.84	29.58	86.83	100.62	94.2	105.82	61.99	48.26	77.09	94.03	
20141112	17612.2	109.85	90.3	123.51	99.28	24.36	112.87	65.61	88.26	25.58	187.75	96.51	158.27	32.63	105.71	58.96	41.37	92.06	153.82	57.46	47.51	94.76	29.67	86.64	100.74	94.19	106.28	62.66	48.46	77.27	93.02	
20141113	17652.79	111.4	89.82	126.12	97.46	24.92	111.72	65.68	88.84	25.49	187.81	97.01	159.12	32.93	106.02	58.64	41.44	92.21	154.47	57.68	48.32	95.07	29.67	85.79	100.9	94.41	106.28	62.4	48.82	80.92	92.32	
20141114	17634.74	112.75	89.43	126.45	97.69	25.54	112.63	65.91	89.14	25.53	187.55	96.27	160.46	33.19	105.14	58.69	41.38	92.91	154.96	57.22	48.29	94.45	29.6	85.32	100.12	93.63	105.6	61.89	49.11	80.94	92.74	
20141117	17647.75	112.56	88.9	126.01	98.03	25.68	112.08	65.6	88.76	25.67	187.5	96.06	160.46	33.47	105.27	58.79	41.57	92.68	154.8	57.6	48.17	95.01	29.58	85.06	100.44	94.97	105.52	62.13	49.01	81.53	92.76	
20141118	17687.82	114.02	89.34	128.21	98.36	25.81	111.81	66.25	88.63	26.06	187.21	94.05	158.24	33.93	105.79	58.93	42.16	93.11	156.23	58.02	47.77	95.41	29.84	85.16	100.53	96.67	106.93	62.11	48.84	81.75	92.52	
20141119	17685.73	113.23	89.26	129.14	97.65	25.8	112.78	66.33	88.18	25.97	186.77	94.76	157.79	33.58	105.72	59	42.83	93.25	155.77	57.78	47.26	95.89	29.69	85.92	100.71	95.36	106.79	62.14	48.14	82.92	93.24	
20141120	17719	114.85	89.38	129.23	98.41	26.01	113.59	66.5	87.28	25.9	187.32	95.61	157.02	35.15	105.16	58.53	42.86	93.33	156.29	57.52	47.73	96.23	29.69	85.67	101.13	95.35	106.95	62.59	47.86	82.52	93.45	
20141121	17810.06	115.01	89.15	130.29	102.61	26.08	114.82	67.17	87.34	26.04	187.16	96.31	157.29	34.79	105.53	58.85	43.1	93.37	157.08	57.8	47.02	96.35	29.7	85.79	101.47	95.21	108.4	63.23	47.88	82.59	94.42	
20141124	17817.9	117.14	89.79	132.09	102.14	26.23	113.86	67.17	88.93	26.05	187.64	96.43	158.5	35.44	104.57	59.35	42.88	93.84	156.8	57.4	46.64	96.88	29.48	85.32	101.45	95.4	106.92	63.32	47.2	83.32	93.35	
20141125	17814.94	116.12	90.15	132.28	102.41	26.47	112.47	66.73	89.98	25.91	186.44	95.06	158.11	35.51	104.39	58.71	43.03	93.68	155.02	57.49	46.52	96.22	29.72	85.99	101.1	96.38	109.79	63.98	47.05	82.88	92.44	
20141126	17827.75	117.51	90.2	132.25	101.98	26.61	111.46	66.53	90.24	25.92	186.11	95.74	158.3	36.07	104.89	58.75	43.19	93.74	155.26	57.88	46.8	96.73	30.34	86.06	102.02	96.59	108.26	63.98	47.71	82.91	92.14	
20141128	17828.24	117.44	91.15	131.84	96.97	26.82	105.42	66.47	90.82	25.56	186.59	97.41	158.51	36.42	105.91	58.57	43.72	94.32	157.01	58.51	46.86	98.2	30.39	87.56	102.1	97.1	108.19	64.21	48.24	85.41	88.3	
20141201	17776.8	113.63	90.88	129.91	95.43	26.77	108.19	66.17	91.01	25.1	186.39	96.9	157.9	36.34	105.69	58.42	43.45	93.31	155.12	58.63	47.65	96.62	30.49	87.23	102.09	97.52	107.8	64.2	47.7	84.12	90.07	
20141202	17879.55	113.19	91.73	129.8	95.92	26.99	110.41	66.74	91.76	25.13	188.36	96.65	159	36.76	106.16	59.47	43.44	92.66	157.51	58.88	47.49	96.96	30.8	88.18	102.05	98.28	107.79	64.67	46.83	84.3	91.86	
20141203	17912.62	114.48	90	129.5	96.57	27.12	110.11	67.26	91.41	25.45	189.11	97.07	160.81	36.59	105.39	59.92	42.71	93.04	159.14	58.69	47.12	97.42	30.97	87.15	102.82	99.61	109.08	65.06	46.52	83.33	92.6	
20141204	17900.1	114.04	90.57	128.86	96.08	26.94	108.72	67.37	91.53	25.17	190.1	97.43	160.35	36.62	105.23	59.76	42.42	93.2	159.14	59.02	47.87	97.96	30.89	87.71	102.73	98.49	109.3	64.95	46.51	83.16	92.04	
20141205	17958.79	113.56	91.38	129.73	95.22	26.68	107.36	68.02	92.05	25.09	193.57	98.11	159.59	36.83	106.16	61.05	42.45	93.83	159.15	59.57	47.45	98.24	31.21	87.52	102.83	99.14	109.38	65.5	46.35	82.53	91.5	
20141208	17852.48	110.99	92.28	127.84	91.82	26.42	103.41	67.66	92.09	24.78	194.72	98.88	158.21	36.37	106.17	61.02	42.07	90.23	157.83	59.95	46.75	96.65	31.19	87.88	104	98.74	111.11	65.43	46.63	82.64	89.43	
20141209	17801.2	112.69	92.08	127.23	92.01	26.6	103.62	67.18	91.24	24.68	194.99	98.11	159.32	36.06	105.71	60.8	41	89.01	157.73	58.14	46.64	95.97	31.17	87.84	103.19	99.83	113.01	65.69	44.74	81.98	89.12	
20141210	17533.15	110.55	91.48	122.3	89.67	26.07	101.54	66.31	89.96	24.38	190.15	97.42	156.89	35.61	103.94	59.08	40.57	87.68	155.19	58.11	45.96	96.59	31.08	87.15	102.45	97.92	111.55	65.09	44.03	81.41	86.48	
20141211	17596.34	110.22	91.85	121.06	89.35	26.19	101.58	66.68	91.22	24.51	191.67	98.73	157.44	35.88	104.41	59.53	40.5	88.63	156.09	57.92	46.23	96.14	30.87	87.55	102.75	98.55	112.08	65.44	44.2	82.25	86.99	
20141212	17280.83	108.35	89.75	118.51	87.24	26.06	99.13	64.56	90.96	24.01	187	98.24	151.88	35.42	102.17	58.46	39.9	88.29	154.1	56.34	46.01	95.39	30.19	86.71	101.37	97.59	110.22	63.86	43.46	82.23	84.46	
20141215	17180.84	106.87	88.81	119.79	86.51	25.89	97.66	64.49	90.37	23.72	183.75	98.51	149.61	35.12	101.71	57.6	39.56	86.18	153.83	55.59	45.74	94.65	30.1	86.37	101.3	97.11	109.98	63.84	43.31	82.35	84.75	
20141216	17068.87	105.41	87.03	121.92	86.12	25.8	98.48	63.88	89.65	23.63	181.54	95.57	148	34.76	100.54	56.89	39.39	86.44	155.99	55.44	44.26	92.45	29.92	86.53	101.29	94.72	111.28	63.02	43.41	81.39	84.27	
20141217	17356.87	108.04	89.2	122.72	86.51	26.01	102.66	65.41	90.85	23.79	183.25	97.42	148.51	35.43	101.82	58.19	40.52	89.29	157.51	56.25	44.83	93.73	30.36	87.83	102.59	97.97	111.94	64.43	44.28	82.64	86.82	
20141218	17778.15	111.24	91.89	123.32	88.38	26.83	105.57	67.24	92.07	24.48	189.76	99.12	154.13	36.19	104.5	59.86	41.34	91.26	162.12	57.57	46.57	96.29	31.19	89.08	104.11	101.03	114.95	65.7	44.86	84.32	88.9	
20141219	17804.8	110.38	91.63	123.86	88.4	26.94	109.35	68.23	92.35	24.95	191.42	100.36	154.94	35.56	103.27	60.3	40.91	90.82	162.29	58.15	46.71	94.07	31.16	89.13	103.91	101.28	113.6	65.08	44.83	83.55	91.32	
20141222	17959.44	111.52	92.34	125.82	88.99	27.38	108.48	69.02	93.66	25.04	192.57	101.91	157.8	36.38	104.43	60.31	41.3	91.47	164.05	57.55	47.02	95.15	31.3	89.67	104.46	101.82	115.12	65.71	45.3	84.75	91.02	
20141223	18024.17	111.13	92.54	127.59	90.13	27.41	110.34	70	94.14	25.2	193.61	102.16	158.58	36.59	102.02	60.83	41.9	91.79	163.66	55.84	47.48	95.19	30.68	90.33	105.09	101.64	115.19	65.97	45.45	85.02	92.25	
20141224	18030.21	110.6	92.79	128.78	90.34	27.46	109.87	69.63	93.87	25.15	194	101.97	158.17	36.6	102.33	60.83	41.88	91.41	163.75	56.09	47.18	95.51	30.65	90.19	104.86	101.47	114.9	66.56	45.45	84.8	91.46	
20141226	18053.71	112.56	93	129.16	90.83	27.51	109.66	69.94	94.48	25.11	193.57	102.15	158.68	36.71	102.79	60.9	41.89	92.34	163.06	56.4	46.93	96.04	30.87	90.5	104.84	101.34	115.22	66.31	45.64	85.27	90.9	
20141229	18038.23	112.48	92.98	129.81	90.33	27.61	109.73	69.66	94.95	25.03	194.3	102.92	156.89	36.35	103.05	61.3	41.8	92.59	163.5	56.35	46.5	96.51	30.62	89.7	105.09	101.12	114.85	66.01	45.34	85	90.77	
20141230	17983.07	111.11	92.98	129.36	89.25	27.52	109.52	69.44	94.15	24.9	193.82	102.67	156.44	35.94	103.08	61.48	41.7	91.82	162.65	56.27	46.08	96.09	30.61	89.47	105.07	101.64	114.2	65.79	45.13	85.15	90.72	
20141231	17823.07	109	91.77	127.54	88.23	26.99	108.62	68.83	93.65	24.61	191.96	103.35	156.82	35.48	102.31	60.93	41.17	91.29	161.16	55.43	45.52	95.37	30.39	88.2	104.01	99.9	113.02	65.21	44.61	84.26	90.16	
20150102	17832.99	107.96	91.75	127.52	88.57	26.97	109.01	68.62	93.21	24.4	192.54	101.84	158.41	35.55	102.26	61.23	41.1	90.86	160.9	55.82	45.83	94.26	30.56	87.57	103.61	99.59	113.06	65.91	44.78	84.28	90.53	
20150105	17501.65	104.92	89.32	126.63	83.89	26.44	104.65	66.77	91.85	23.96	186.52	99.7	155.91	35.15	101.55	59.33	41.1	89.86	157.27	56.65	45.41	92.74	30.4	87.16	102.36	97.95	111.17	64.46	44.41	84.03	88.06	
20150106	17371.64	104.93	87.42	125.14	83.35	26.43	104.61	65.99	91.36	23.44	182.75	99.4	152.55	34.49	101.05	57.79	41.41	90.02	155.6	58.88	44.74	92.2	30.65	86.76	101.44	97.75	109.6	64.04	44.85	84.68	87.59	
20150107	17584.52	106.4	89.33	127.08	84.64	26.67	104.52	67.32	92.29	23.45	185.47	102.8	151.56	35.21	103.28	57.88	41.92	91.59	156.72	60.14	45.31	94.1	31.07	87.22	103.17	98.75	110.79	64.9	44.56	86.93	88.48	
20150108	17907.87	110.49	90.59	129.33	85.51	26.88	106.91	69.38	93.25	23.73	188.44	105.08	154.85	35.87	104.09	59.17	42.43	91.93	160.48	61.35	46.64	96.27	31.7	88.21	105.32	103.46	112.68	65.77	45.52	88.76	89.95	
20150109	17737.37	110.6	89.44	129.08	84.49	27.15	104.78	68.42	93.71	23.4	185.54	103.28	155.52	35.94	102.67	58.15	41.96	90.81	158.51	61.06	46.25	95.21	31.85	87.39	103.99	102.49	112.06	64.79	45.11	87.66	89.82	
20150112	17640.84	107.88	88.53	128.42	83.76	27.4	102.52	69.27	93.91	23.35	183.29	102.81	152.91	35.78	102.32	57.65	41.58	90.62	157.65	60.81	45.67	95.08	31.97	87.07	103.37	101.34	112.48	64.67	45.42	88.32	88.1	
20150113	17613.68	108.84	88.27	128.71	83.26	27.45	100.9	68.09	94.64	23.24	183.15	102.13	153.28	35.68	102.49	57.66	41.57	90.44	157.53	60.7	45.44	94.24	31.65	87.44	103.53	101.85	112.37	64.86	45.52	87.62	87.77	
20150114	17427.09	108.42	86.13	127.94	82.97	27.28	100.61	67.91	93.69	23.16	178.49	101.06	152.29	35.54	101.75	55.67	41.5	89.18	156.76	61.14	45.04	92.95	31.68	87.14	101.97	102.11	111.57	63.56	45.32	84.97	87.52	
20150115	17320.71	105.48	84.95	127.7	81.95	26.78	99.42	68.1	93.8	22.96	176.77	99.46	151.09	35.38	100.27	53.88	41.33	89.03	156.59	60.4	44.57	92.06	31.61	87.01	102.4	103.23	111.57	62.95	45.44	85.73	86.76	
20150116	17511.57	104.66	85.11	128.33	81.5	27.04	101.79	69.12	94.63	22.97	175.52	102.52	153.6	35.63	101.79	54.8	41.48	89.14	158.88	61.52	45.32	92.23	32	88.36	104.69	104.52	114.15	63.41	46.3	85.13	88.87	
20150120	17515.23	107.36	86.32	128.76	81.61	27.42	103.09	69.22	94.19	23.23	173.94	101.66	153.41	35.28	99.1	54.59	42.09	88.46	158.82	61.11	45.46	92.85	32.29	88.3	104	104.37	115.51	63.88	46.48	85.05	88.84	
20150121	17554.28	108.18	86.72	129.93	82.97	27.2	104.73	69.06	93.63	23.41	175.44	101.94	148.66	35.66	99.7	54.77	42.28	88.01	159.41	60.67	45	92.75	31.84	88.48	103.18	108.03	116.98	63.99	46.55	85	89.6	
20150122	17813.98	110.99	83.46	133.1	84.38	27.84	105.47	69.9	94.6	23.64	180.28	104.44	151.89	36.08	101.52	56.43	42.69	88.55	162.7	61.09	46.19	95.07	32.01	89.35	106.29	112.51	118.38	64.07	46.12	86.63	90.57	
20150123	17672.6	111.56	83.22	132.1	83.2	27.56	103.46	68.69	94.17	23.84	178.75	103.75	152.36	35.63	99.99	55.54	42.24	87.25	160.86	61	46.24	95.38	31.65	87.85	105.14	110.68	117.92	64.24	45.49	86.84	88.64	
20150126	17678.7	111.68	82.4	131.56	83.61	27.32	105.43	68.99	94.42	23.95	178.68	104.72	152.84	35.01	100.05	55.63	41.93	88.34	161.08	61.32	46.07	95.57	32	87.36	105.21	110.29	116.71	63.8	45.31	86.95	89.49	
20150127	17387.21	107.77	81.51	130	77.6	26.28	104.83	68.13	93.43	23.74	174.79	103.54	150.21	33.43	99.88	55.07	41.34	87.26	160.48	61.06	41.81	93.73	31.8	84.34	104.21	108.71	117.11	62.42	44.72	85.88	88.7	
20150128	17191.37	113.86	80.85	137.02	77.76	26.19	100.42	66.76	92.13	23.22	171.38	103.13	148.13	33.02	99.29	53.65	40.88	86.49	160.78	59.98	40.37	92.55	31.17	83.04	102.76	107.18	114.91	61.27	44.43	85.18	85.77	
20150129	17416.85	117.41	81.12	145.01	77.75	26.59	99.73	67.69	92.68	23.45	174.29	105.96	151.98	33.44	100.17	54.55	41.06	90.87	162.93	60.6	41.17	94.1	31.05	83.55	102.72	108.1	114.45	61.68	44.49	86.06	85.41	
20150130	17164.95	115.69	79.82	142.65	77.72	25.76	99.28	66.29	90.43	23.26	170.75	102.81	149.85	32.3	97.97	53.29	40.15	90.06	159.18	58.84	39.59	91.5	30.48	82.2	101.03	104.99	112.81	63.4	44.1	83.37	85.26	
20150202	17361.04	117.14	81.24	143.52	78.56	26.21	102.7	66.66	91.4	23.58	173.8	102.82	151.17	32.9	98.65	54.35	40.56	90.13	161.25	59.42	40.46	91.17	30.87	83.01	102.76	106.02	114.57	63.5	45.33	84.09	87.36	
20150203	17666.4	117.16	82.83	144.58	81.56	26.49	106.06	68.27	93.56	23.83	178.5	105.59	154.9	32.95	100.24	55.58	40.6	91.5	162.75	59.56	40.77	92.59	31.24	83.82	104.2	106.54	116.84	64.61	46.15	84.56	89.97	
20150204	17673.02	118.06	82.71	144.46	79.64	26.07	104.92	68.65	100.69	23.53	177.06	106.74	153.42	33.08	99.17	55.25	40.65	91.63	161.64	57.64	41.01	91.79	31.56	83.66	104.87	106.65	115.76	65.88	46.12	85.01	89.2	
20150205	17884.88	118.9	83.82	145.82	81.22	26.63	105.84	70.75	102.05	23.86	179.03	107.31	154.35	33.42	100.24	55.63	40.75	91.91	163.34	57.75	41.6	92.58	32.47	84.55	105.54	107.53	118.04	67.6	46.18	85.63	90.08	
20150206	17824.29	117.9	84.09	145.23	80.87	26.61	106.14	70.84	101.43	23.88	181.66	107.36	154.26	32.79	98.91	56.73	40.42	91.57	162.87	57.38	41.56	91.04	32.64	83.49	105.34	106.33	117.75	66.51	47.59	85.68	89.91	
20150209	17729.21	118.68	84.06	144.81	82.29	26.49	106.93	70.49	101.14	23.99	180.46	106.67	153.31	32.42	97.62	56.66	40.21	90.33	161.67	56.93	41.52	90.43	32.54	82.94	103.93	105.23	117.27	66.02	47.36	84.29	89.97	
20150210	17868.76	120.96	84.91	145.27	81.54	26.86	106.69	70.73	101.33	24.07	182.78	108.97	156.07	33.18	98.18	57.28	41.35	91.6	162.63	57.44	41.75	92	33.61	83.27	104.67	107.68	117.35	65.79	47.77	85.64	89.43	
20150211	17862.14	123.8	85.08	146.05	81.06	26.31	106.49	70.49	101.28	24.12	185.84	108.61	155.72	33.03	98.21	57.2	41.32	91.79	162.32	57.34	41.53	90.57	33.71	83.52	105.9	108.55	117.28	66.27	48.06	84.71	89.02	
20150212	17972.38	125.37	79.61	146.21	81.18	28.78	108.4	71.46	102.98	24.24	187.95	110.43	156.03	33.61	96.31	58.37	41.12	92.64	163.73	57.47	42.23	91.25	34.32	83.9	106.16	108.54	118.17	67.5	47.78	84.27	90.76	
20150213	18019.35	125.98	77.24	147.83	82.73	28.75	110.28	71.36	103.57	24.49	187.18	110.17	157.88	33.83	97.47	58.47	40.95	93.19	163.76	57.4	43	91.29	34.09	83.77	106.12	108.15	119.81	67.18	47.57	84.19	91.75	
20150217	18047.58	126.72	78.23	148.02	82.98	28.63	109.91	71.59	103.52	24.51	188.19	110.28	158.44	34.21	98.27	58.89	40.77	91.92	164.72	57.38	43.01	91.11	34.03	83.37	106.12	108.46	119.88	67.49	47.45	84.34	91.43	
20150218	18029.85	127.61	78.92	149.26	82.41	28.81	107.99	71.48	103.26	24.59	186.85	110.27	159.65	33.74	97.8	58.18	40.7	92.15	165.2	57.39	42.97	92.86	33.93	84.12	106.1	108.47	120.54	67.05	47.22	84.66	89.43	
20150219	17985.77	127.34	77.55	151.8	80.95	28.63	105.95	71.27	103.29	24.58	187.29	109.23	161.32	33.68	98.52	58.04	41.07	91.77	164.89	56.91	42.94	92.94	33.86	83.1	106.11	108.73	121.45	67.05	47.19	81.94	87.88	
20150220	18140.44	128.38	78.97	156.3	82.06	28.93	106.19	71.82	103.95	24.78	189.66	110.51	161.08	33.88	98.78	58.6	40.93	91.77	165.91	56.95	43.29	94.16	34.01	82.77	105.94	111.29	122.63	68.02	47.25	82.71	88.36	
20150223	18116.84	131.85	79.43	152.78	81.14	28.95	105.47	72.56	104.38	24.74	188.47	110.55	160.36	33.24	98.7	58.16	40.81	91.88	166.59	56.91	43.58	94.24	33.84	83.27	105.22	115.03	122.25	68.02	47.05	83	87.46	
20150224	18209.19	131.03	79.99	152.42	82.12	28.95	105.56	72.97	104.06	24.95	190.37	114.95	162.25	33.88	99.21	59.6	41.09	92.54	166.9	56.96	43.52	94.64	33.79	83.38	105.68	114.07	122.32	67.89	47.49	82.97	87.86	
20150225	18224.57	127.68	81.28	151.07	82.75	28.81	106.17	72.97	104.96	25.46	189.87	114.52	160.26	33.43	99.71	59.91	41.01	96.12	166.67	57.09	43.42	96.03	34.11	83.34	105.05	112.7	121.9	68.02	47.47	81.99	88.04	
20150226	18214.42	129.29	82.35	149.81	81.44	29.22	104.68	73.09	103.96	25.44	190.94	113.6	158.35	33.13	101.28	60.34	41.41	97.79	167.38	57.55	43.49	96.48	34.04	83.06	105.94	112.32	121.21	68.21	47.63	82.22	87.11	
20150227	18132.7	127.35	80.71	148.94	80.57	28.83	104.31	72.92	103.48	25.54	188.55	112.98	159.4	32.74	101	60.05	42.23	97.19	166.43	57.14	43.28	96.61	33.77	83.02	105.57	112.29	120.46	67.6	47.71	82.34	87	
20150302	18288.63	127.97	81.14	151.85	80.66	29.49	103.55	73.52	105.28	25.66	190.54	114.33	157.96	33.54	101.69	60.53	42.13	98.27	168.26	57.18	43.31	98.23	34.22	83.29	106.02	113.05	121.72	69.34	47.73	82.37	86.51	
20150303	18203.37	128.24	81.03	153.6	80.51	28.86	102.83	73.13	105.74	25.41	190.02	114.28	158.5	33.58	100.83	60.72	41.89	98.02	166.06	56.94	42.72	97.46	34.01	83.05	105.53	111.53	120.25	68.59	47.81	81.79	86.1	
20150304	18096.9	127.43	79.76	152.39	79.43	28.65	102.83	73.18	104.96	25.22	188.43	112.99	156.92	33.6	100.15	60.88	41.45	98.52	164.96	56.5	42.5	97.01	34.09	82.26	105.02	112.48	119.6	68.21	47.34	81.02	85.66	
20150305	18135.72	125.32	80.27	152.51	79.22	28.62	102.41	73.37	104.42	25.38	188.84	114.13	158.65	33.21	101.01	60.75	41.35	97.4	165.37	56.59	42.55	97.94	33.92	82.53	105.73	113.43	119.35	68.3	47.2	81.99	85.23	
20150306	17856.78	125.51	79.44	151.18	77.81	28.26	101.25	73.2	103.22	24.98	185.69	112.69	156.01	32.68	98.63	59.66	40.49	95.45	162.2	55.48	41.81	96.4	33.43	80.61	104.49	111.55	118.01	67.11	46.59	81.03	84.14	
20150309	17995.72	126.04	79.64	152.79	78.53	28.68	101.64	73.6	104.65	25.2	186.7	113.48	158.25	32.22	99.17	60.26	40.36	96.02	164.18	55.89	42.29	96.92	33.49	81.03	105.4	113.54	120.3	67.63	46.53	81.31	83.68	
20150310	17662.94	123.43	78.26	150.49	77.66	28	100.63	73.79	102.49	24.74	181.52	111.4	155.34	31.21	98.06	58.75	39.68	94.63	160.13	55.23	41.49	96	33.24	79.52	103.44	111.13	116	66.08	45.84	80.52	82.79	
20150311	17635.39	121.18	78.59	149.26	77.46	27.61	101.24	74.27	102.3	24.76	182.98	111.9	154.34	31.83	96.87	59.03	39.11	93.32	159.6	54.72	41.44	94.84	33.1	79.37	104.37	111.76	116.93	65.96	46	79.64	82.56	
20150312	17895.22	123.37	80.68	150.11	77.93	27.59	100.15	75.31	106.55	24.96	188.71	114.9	155.5	30.33	98.35	60.14	39.89	94.59	162.31	55.27	40.49	96.53	33.46	80.05	106.5	113.9	119.8	67.17	47.01	80.83	82.75	
20150313	17749.31	122.52	79.73	149.65	77	27.3	99.37	75.41	105.82	24.61	188.1	113.63	151.86	30.45	97.74	59.77	39.24	94.69	160.6	55.3	40.84	95.31	33.46	79.8	105.4	114.27	117.33	66.03	47.12	80.83	82.41	
20150316	17977.42	123.87	80.62	151.72	77.72	27.65	100.84	72.19	106.75	25.01	190.65	115.3	154.62	30.36	99.57	60.61	39.62	95.47	164.02	56.2	41.02	95.93	33.89	81.49	107.59	117.51	118.64	67.03	47.54	82.21	83.29	
20150317	17849.08	125.94	80.19	152.55	76.24	27.5	100.88	69.96	106.34	24.87	189.32	114.39	154.5	30.12	98.41	60.37	39.83	94.51	162.07	55.57	41.16	96.03	33.63	80.8	107.41	116.6	118.43	65.9	47.23	81.55	82.62	
20150318	18076.19	127.36	80.98	153.76	79.04	27.5	104.33	71.2	107.35	25.2	191.06	114.88	157.3	30.42	99.96	60.51	39.92	95.32	164.28	56.73	41.95	97	33.83	81.67	108.17	118.94	118.88	66.69	47.8	81.46	84.57	
20150319	17959.03	126.4	80.66	152.16	77.84	27.61	102.43	69.8	106.75	24.89	188.73	113.97	157.3	30.27	100.19	59.97	39.35	94.32	163.48	57.28	41.74	97.8	33.61	81.31	107.76	119.73	117.96	66.58	47.56	80.46	82.94	
20150320	18127.65	124.81	81.81	152.54	78.9	27.78	104.66	69.64	107.8	24.96	191.87	116.28	160.33	30.83	100.89	60.51	39.97	95.37	164.3	57.64	42.32	101.45	33.71	82.64	108.38	118.13	118.04	67.18	47.82	82.16	83.07	
20150323	18116.04	126.11	81.31	150.87	78.81	27.75	103.57	69.71	107.59	25.03	190.71	114.87	162.05	30.72	101.46	59.91	39.94	96.92	163.95	57.79	42.3	100.93	34.49	82.76	108.27	118.03	117.27	66.85	47.89	82.23	83.94	
20150324	18011.14	125.59	80.49	149.73	78.21	27.35	101.89	68.94	106.49	24.83	190.03	114.95	160.44	30.32	100.45	59.24	39.79	97.64	164.13	57.69	42.34	100.12	33.97	81.84	107.88	117.12	117.5	66.87	47.67	81.97	83.05	
20150325	17718.54	122.31	79.25	146.35	77.61	26.83	103.33	67.47	104.39	24.48	186.13	112.51	156.7	29.43	98.86	58.41	39.77	96.44	160.56	57.33	40.92	98.47	33.75	80.95	106.28	115.55	115.07	65.51	47.01	80.26	83.38	
20150326	17678.23	123.17	77.63	146.29	77.63	26.47	102.91	67.22	104.63	24.37	186.02	111.21	158.07	29.62	98.66	58.34	39.68	95.95	160.45	56.68	40.68	98.81	33.62	80.11	105.51	115.26	114.66	65.37	46.72	80.82	82.85	
20150327	17712.66	122.18	77.13	146.96	77.43	26.5	101.97	67.12	104.87	24.43	186.83	112.68	157.88	31.51	98.86	58.35	39.41	95.29	161.35	56.82	40.44	99.36	33.98	80.27	105.81	117.01	115.51	65.32	46.85	80.29	82.13	
20150330	17976.31	125.28	77.21	150.77	79.08	27.01	104.53	67.99	105.51	24.69	189.77	113.45	160.12	30.98	100.05	59.73	39.83	96.19	163.87	57.41	40.43	100.36	34.44	80.67	108.29	119.97	117.41	65.44	47.39	81.46	84.14	
20150331	17776.12	123.35	77.54	148.18	77.78	27.1	102.65	66.95	104.28	24.38	186.74	112.44	157.98	30.79	99.11	59.36	39.87	95.76	162.78	56.56	40.13	99.8	34.24	79.91	106.8	117.28	115.8	65.19	46.92	81.18	83.52	
20150401	17698.18	123.18	78.34	146.76	77.4	26.83	102.47	66.49	104.83	24.41	190.97	111.96	156.68	30.34	97.68	59.13	40	94.63	160.38	55.95	40.19	99.03	33.78	80.28	105.79	116.45	114.54	64.96	47.2	79.66	82.99	
20150402	17763.24	124.24	79.1	147.39	77.98	26.71	102.94	66.87	105.39	24.51	190.3	113.36	157.93	30.34	98.17	59.7	40	94.17	160.66	56.19	39.77	99.14	33.83	80.39	106.41	116.36	115.74	65.07	47.73	79.68	82.83	
